name;hue;saturation;luminosity
Black;-1;0;0
Cultured;-1;0;96
Davys grey;-1;0;33
Dim gray;-1;0;41
Eerie black;-1;0;11
Gainsboro;-1;0;86
Granite gray;-1;0;40
Gray;-1;0;50
Gray;-1;0;75
Jet;-1;0;20
Light gray;-1;0;83
Quick Silver;-1;0;65
Silver;-1;0;75
Silver chalice;-1;0;67
Sonic silver;-1;0;46
Spanish gray;-1;0;60
White;-1;0;100
Baby pink;0;69;86
Blood red;0;100;20
Carnelian;0;74;40
Copper rose;0;20;50
Dark red;0;100;27
Dark sienna;0;50;16
Falu red;0;68;30
Firebrick;0;68;42
Indian red;0;53;58
Light coral;0;79;72
Maroon;0;100;25
Maximum red;0;74;49
Middle red purple;0;33;49
Oxblood;0;100;15
Permanent Geranium Lake;0;75;53
Persian plum;0;60;27
Persian red;0;60;50
Prune;0;60;27
Red;0;100;50
Rose taupe;0;22;46
Rosso corsa;0;100;42
Rosy brown;0;25;65
Seal brown;0;43;14
Snow;0;100;99
Tea rose;0;69;86
Tuscan red;0;27;38
Tuscany;0;24;68
Pastel pink;1;47;76
Spanish pink;1;78;86
Tart Orange;2;96;63
Deep chestnut;3;45;50
International orange;3;88;39
Mona Lisa;3;100;78
New York pink;3;52;67
Red-orange;3;100;64
Silver pink;3;16;72
Sweet Brown;3;55;43
Barn red;4;97;25
International orange;4;63;46
Orange-red;4;100;64
Rose ebony;4;19;34
Chili red;5;76;52
Cinnabar;5;76;55
Congo pink;5;90;72
Copper penny;5;29;55
Coral pink;5;90;72
Medium carmine;5;54;45
Red;5;99;53
Vermilion;5;76;55
Misty rose;6;100;94
Old burgundy;6;19;22
Redwood;6;33;48
Rojo Spanish red;6;99;33
Salmon;6;93;71
Burnished brown;8;19;54
Cedar Chest;8;54;54
Rufous;8;92;34
Scarlet;8;100;50
Vermilion;8;76;48
Bole;9;34;35
Burnt umber;9;59;34
Liver;9;18;34
Syracuse Orange;9;100;42
Tomato;9;100;64
Black bean;10;94;12
Chestnut;10;48;40
Melon;10;98;84
Orange soda;10;95;61
